reaction_smiles,sources,reactants,products,solvents,catalyst,stages
"['[CH2:1]([C:5]1[N:6]([CH2:10][C:11]2[CH:16]=[CH:15][CH:14]=[CH:13][C:12]=2[Cl:17])[CH:7]=[CH:8][N:9]=1)[CH2:2][CH2:3][CH3:4].C=O.[C:20]([O-])(=[O:22])C.[Na+]', 'C(O)(=O)C', '[CH2:1]([C:5]1[N:6]([CH2:10][C:11]2[CH:16]=[CH:15][CH:14]=[CH:13][C:12]=2[Cl:17])[C:7]([CH2:20][OH:22])=[CH:8][N:9]=1)[CH2:2][CH2:3][CH3:4] |f:2.3|']","['US20010051615A1', '0185', 'A mixture of 2-n-butyl-1-(2-chlorophenyl)methyl-1H-imidazole (95.5 g, 0.384 mol), 37% formaldehyde (500 mL), sodium acetate (80 g) and acetic acid (60 mL) was heated to reflux for 40 hours under argon. The reaction was concentrated in vacuo, and the residue was stirred with 500 mL of 20% sodium, hydroxide solution for 4 hours, diluted with water and extracted with methylene chloride. The extract was washed, dried, and concentrated. The crude product (117 g) was flash chromatographed over 600 g of silica gel with a gradient of ethyl acetate to 10% of methanol in ethyl acetate to give 8.3 g of starting material, 24.5 g of a mixture of starting material and product, and 44 g (41%) of 2-n-butyl-1-(2-chlorophenyl)methyl-5-hydroxymethyl-1H-imidazole; mp 86-88° C. (from ethyl acetate). Further elution provided the bis (4,5-hydroxymethyl) derivative; mp 138-140° C. (from ethyl acetate).']","[{'chemical_names': ['2-n-butyl-1-(2-chlorophenyl)methyl-1H-imidazole'], 'identifiers': ['smiles:CCCCc1nccn1Cc1ccccc1Cl', 'inchi:InChI=1S/C14H17ClN2/c1-2-3-8-14-16-9-10-17(14)11-12-6-4-5-7-13(12)15/h4-7,9-10H,2-3,8,11H2,1H3'], 'amounts': ['0.384 mol', '95.5 g'], 'appearances': []}, {'chemical_names': ['formaldehyde'], 'identifiers': ['smiles:C=O', 'inchi:InChI=1S/CH2O/c1-2/h1H2'], 'amounts': ['500 mL'], 'appearances': []}, {'chemical_names': ['sodium acetate'], 'identifiers': ['smiles:CC(=O)[O-].[Na+]', 'inchi:InChI=1S/C2H4O2.Na/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1'], 'amounts': ['80 g'], 'appearances': []}]","[{'chemical_names': ['mixture'], 'identifiers': [], 'amounts': ['24.5 g'], 'appearances': []}, {'chemical_names': ['2-n-butyl-1-(2-chlorophenyl)methyl-5-hydroxymethyl-1H-imidazole'], 'identifiers': ['smiles:CCCCc1ncc(CO)n1Cc1ccccc1Cl', 'inchi:InChI=1S/C15H19ClN2O/c1-2-3-8-15-17-9-13(11-19)18(15)10-12-6-4-5-7-14(12)16/h4-7,9,19H,2-3,8,10-11H2,1H3'], 'amounts': ['44 g', '41%', '41.1'], 'appearances': []}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['60 mL'], 'appearances': []}]",[],"['step 1:A mixture of 2-n-butyl-1-(2-chlorophenyl)methyl-1H-imidazole (95.5 g, 0.384 mol), 37% formaldehyde (500 mL), sodium acetate (80 g) and acetic acid (60 mL)', 'step 2:was heated', 'step 3:to reflux for 40 hours under argon', 'step 3 properties:Time:144000', 'step 4:The reaction was concentrated in vacuo', 'step 5:the residue was stirred with 500 mL of 20% sodium, hydroxide solution for 4 hours', 'step 5 properties:Time:14400', 'step 6:diluted with water', 'step 7:extracted with methylene chloride', 'step 8:The extract was washed', 'step 9:dried', 'step 10:concentrated', 'step 11:chromatographed over 600 g of silica gel with a gradient of ethyl acetate to 10% of methanol in ethyl acetate', 'step 12:to give 8.3 g of starting material, 24.5 g of a mixture of starting material and product, and 44 g (41%) of 2-n-butyl-1-(2-chlorophenyl)methyl-5-hydroxymethyl-1H-imidazole']"
"['C([N:11]1[CH2:16][CH2:15][N:14]([C:17]2[CH:22]=[C:21]([Cl:23])[C:20]([Cl:24])=[CH:19][C:18]=2[N+:25]([O-])=O)[C@@H:13]([C:28]([OH:30])=O)[CH2:12]1)(OCC1C=CC=CC=1)=O', 'C(O)(=O)C.[Fe]', '[Cl:24][C:20]1[CH:19]=[C:18]2[C:17](=[CH:22][C:21]=1[Cl:23])[N:14]1[CH2:15][CH2:16][NH:11][CH2:12][C@@H:13]1[C:28](=[O:30])[NH:25]2']","['US20010051622A1', '(R)-8,9-Dichloro-2,3,4,4a-Tetrahydro-1H-Pyrazino[1,2-a]Quinoxalin-5(6H)-One', '0093', 'To a solution of 8.0 g (R)-4-carbobenzyloxy-1-(4,5-dichloro-2-nitrophenyl)-piperazine-2-carboxylic acid in 200 mL of acetic acid is added 6.0 g of iron powder. With good stirring, the mixture is heated at 60° C. for 2 hours, followed by concentrated under reduced pressure (1-2 mm, <40° C.) to a gray-black residue. This material was slurried with 400 mL of ethyl acetate and filtered. This process was repeated. The combined ethyl acetate filtrates are washed with 150 mL of 1 N HCl, 200 mL of water (2×), 200 mL of brine and dried over MgSO4. Filtration and concentration of the solvent gave a semi-solid material that is crystallized from ethyl acetate-hexane to afford 5.44 g (76.1%) of title compound as a white solid, mp 136-138° C.']","[{'chemical_names': ['(R)-4-carbobenzyloxy-1-(4,5-dichloro-2-nitrophenyl)-piperazine-2-carboxylic acid'], 'identifiers': ['smiles:O=C(O)[C@H]1CN(C(=O)OCc2ccccc2)CCN1c1cc(Cl)c(Cl)cc1[N+](=O)[O-]', 'inchi:InChI=1S/C19H17Cl2N3O6/c20-13-8-15(16(24(28)29)9-14(13)21)23-7-6-22(10-17(23)18(25)26)19(27)30-11-12-4-2-1-3-5-12/h1-5,8-9,17H,6-7,10-11H2,(H,25,26)/t17-/m1/s1'], 'amounts': ['8.0 g'], 'appearances': []}]","[{'chemical_names': ['title compound', '(R)-8,9-Dichloro-2,3,4,4a-Tetrahydro-1H-Pyrazino[1,2-a]Quinoxalin-5(6H)-One'], 'identifiers': ['smiles:O=C1Nc2cc(Cl)c(Cl)cc2N2CCNC[C@H]12', 'inchi:InChI=1S/C11H11Cl2N3O/c12-6-3-8-9(4-7(6)13)16-2-1-14-5-10(16)11(17)15-8/h3-4,10,14H,1-2,5H2,(H,15,17)/t10-/m1/s1'], 'amounts': ['5.44 g', '76.1%', '113.5'], 'appearances': ['white']}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['200 mL'], 'appearances': []}]","[{'chemical_names': ['iron'], 'identifiers': ['smiles:[Fe]', 'inchi:InChI=1S/Fe'], 'amounts': ['6.0 g'], 'appearances': []}]","['step 1:To a solution of 8.0 g (R)-4-carbobenzyloxy-1-(4,5-dichloro-2-nitrophenyl)-piperazine-2-carboxylic acid in 200 mL of acetic acid is added 6.0 g of iron powder', 'step 2:With good stirring, the mixture is heated at 60° C. for 2 hours', 'step 2 properties:Time:7200', 'step 2 properties:Temperature:60', 'step 3:by concentrated under reduced pressure (1-2 mm, <40° C.) to a gray-black residue', 'step 3 properties:Temperature:<40', 'step 3 properties:Pressure:reduced pressure', 'step 4:filtered', 'step 5:The combined ethyl acetate filtrates are washed with 150 mL of 1 N HCl, 200 mL of water (2×), 200 mL of brine', 'step 6:dried over MgSO4', 'step 7:Filtration and concentration of the solvent', 'step 8:gave a semi-solid material that', 'step 9:is crystallized from ethyl acetate-hexane', 'step 10:to afford 5.44 g (76.1%) of title compound as a white solid, mp 136-138° C.']"
"['C([N:11]1[CH2:16][CH2:15][N:14]([C:17]2[CH:22]=[C:21]([Cl:23])[C:20]([Cl:24])=[CH:19][C:18]=2[N+:25]([O-])=O)[C@H:13]([C:28]([OH:30])=O)[CH2:12]1)(OCC1C=CC=CC=1)=O', 'C(O)(=O)C.[Fe]', '[Cl:24][C:20]1[CH:19]=[C:18]2[C:17](=[CH:22][C:21]=1[Cl:23])[N:14]1[CH2:15][CH2:16][NH:11][CH2:12][C@H:13]1[C:28](=[O:30])[NH:25]2']","['US20010051622A1', '(S)-8,9-Dichloro-2,3,4,4a-Tetrahydro-1H-Pyrazino[1,2-a]Quinoxalin-5(6H)-One', '0128', 'To a solution of 1.5 g (S)-4-carbobenzyloxy-1-(4,5-dichloro-2-nitrophenyl)-piperazine-2-carboxylic acid in 40 mL of acetic acid is added 1.2 g of iron powder. With good stirring, the mixture is heated at 60° C. for 2 hours, then concentrated under reduced pressure (1-2 mm, <40° C.) to a gray-black residue. This material was slurried with 100 mL of ethyl acetate (2×). The combined ethyl acetate filtrates are washed with 100 mL of 1 N HCl, 200 mL of water (2×), 100 mL of brine and dried over MgSO4. Filtration and concentration of the solvent gave a semi-solid material that is crystallized from hexane to afford 1.08 g (80.6%) of title compound as a white solid, mp 174-6° C.']","[{'chemical_names': ['(S)-4-carbobenzyloxy-1-(4,5-dichloro-2-nitrophenyl)-piperazine-2-carboxylic acid'], 'identifiers': ['smiles:O=C(O)[C@@H]1CN(C(=O)OCc2ccccc2)CCN1c1cc(Cl)c(Cl)cc1[N+](=O)[O-]', 'inchi:InChI=1S/C19H17Cl2N3O6/c20-13-8-15(16(24(28)29)9-14(13)21)23-7-6-22(10-17(23)18(25)26)19(27)30-11-12-4-2-1-3-5-12/h1-5,8-9,17H,6-7,10-11H2,(H,25,26)/t17-/m0/s1'], 'amounts': ['1.5 g'], 'appearances': []}]","[{'chemical_names': ['title compound', '(S)-8,9-Dichloro-2,3,4,4a-Tetrahydro-1H-Pyrazino[1,2-a]Quinoxalin-5(6H)-One'], 'identifiers': ['smiles:O=C1Nc2cc(Cl)c(Cl)cc2N2CCNC[C@@H]12', 'inchi:InChI=1S/C11H11Cl2N3O/c12-6-3-8-9(4-7(6)13)16-2-1-14-5-10(16)11(17)15-8/h3-4,10,14H,1-2,5H2,(H,15,17)/t10-/m0/s1'], 'amounts': ['1.08 g', '80.6%', '120.2'], 'appearances': ['white']}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['40 mL'], 'appearances': []}]","[{'chemical_names': ['iron'], 'identifiers': ['smiles:[Fe]', 'inchi:InChI=1S/Fe'], 'amounts': ['1.2 g'], 'appearances': []}]","['step 1:To a solution of 1.5 g (S)-4-carbobenzyloxy-1-(4,5-dichloro-2-nitrophenyl)-piperazine-2-carboxylic acid in 40 mL of acetic acid is added 1.2 g of iron powder', 'step 2:With good stirring, the mixture is heated at 60° C. for 2 hours', 'step 2 properties:Time:7200', 'step 2 properties:Temperature:60', 'step 3:concentrated under reduced pressure (1-2 mm, <40° C.) to a gray-black residue', 'step 3 properties:Temperature:<40', 'step 3 properties:Pressure:reduced pressure', 'step 4:The combined ethyl acetate filtrates are washed with 100 mL of 1 N HCl, 200 mL of water (2×), 100 mL of brine', 'step 5:dried over MgSO4', 'step 6:Filtration and concentration of the solvent', 'step 7:gave a semi-solid material that', 'step 8:is crystallized from hexane', 'step 9:to afford 1.08 g (80.6%) of title compound as a white solid, mp 174-6° C.']"
"['[CH3:1][C:2]1[C:10]2[N:6]([CH:7]=[C:8]([C:11]3[CH:16]=[CH:15][C:14]([O:17]C)=[CH:13][CH:12]=3)[CH:9]=2)[CH:5]=[CH:4][CH:3]=1.Br', 'C(O)(=O)C', '[CH3:1][C:2]1[C:10]2[N:6]([CH:7]=[C:8]([C:11]3[CH:16]=[CH:15][C:14]([OH:17])=[CH:13][CH:12]=3)[CH:9]=2)[CH:5]=[CH:4][CH:3]=1']","['US20010051632A1', 'Step B Preparation of 8-methyl-2-(4-Hydroxyphenyl)indolizine', '0195', 'To a solution of 8-Methyl-2-(4-Methoxyphenyl)-indolizine (9.1 mmol, 2.16 g) in acetic acid (13 mL) was added 48% HBr (32 mL) slowly. The mixture was stirred and heated at 100° C. for 8 hours. Solvent was removed in vacuo to give the title compound, which was sued without purification.']","[{'chemical_names': ['8-Methyl-2-(4-Methoxyphenyl)-indolizine'], 'identifiers': ['smiles:COc1ccc(-c2cc3c(C)cccn3c2)cc1', 'inchi:InChI=1S/C16H15NO/c1-12-4-3-9-17-11-14(10-16(12)17)13-5-7-15(18-2)8-6-13/h3-11H,1-2H3'], 'amounts': ['9.1 mmol', '2.16 g'], 'appearances': []}, {'chemical_names': ['HBr'], 'identifiers': ['smiles:Br', 'inchi:InChI=1S/BrH/h1H'], 'amounts': ['32 mL'], 'appearances': []}]","[{'chemical_names': ['title compound', '8-methyl-2-(4-Hydroxyphenyl)indolizine'], 'identifiers': ['smiles:Cc1cccn2cc(-c3ccc(O)cc3)cc12', 'inchi:InChI=1S/C15H13NO/c1-11-3-2-8-16-10-13(9-15(11)16)12-4-6-14(17)7-5-12/h2-10,17H,1H3'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['13 mL'], 'appearances': []}]",[],"['step 1:To a solution of 8-Methyl-2-(4-Methoxyphenyl)-indolizine (9.1 mmol, 2.16 g) in acetic acid (13 mL) was added 48% HBr (32 mL) slowly', 'step 2:The mixture was stirred', 'step 3:heated at 100° C. for 8 hours', 'step 3 properties:Time:28800', 'step 3 properties:Temperature:100', 'step 4:Solvent was removed in vacuo', 'step 5:to give the title compound, which']"
"['[CH3:1][C:2]1[C:3]([C:11]2[CH:16]=[CH:15][C:14]([O:17]C)=[CH:13][CH:12]=2)=[CH:4][N:5]2[C:10]=1[CH:9]=[CH:8][CH:7]=[CH:6]2.Br', 'C(O)(=O)C', '[CH3:1][C:2]1[C:3]([C:11]2[CH:16]=[CH:15][C:14]([OH:17])=[CH:13][CH:12]=2)=[CH:4][N:5]2[C:10]=1[CH:9]=[CH:8][CH:7]=[CH:6]2']","['US20010051632A1', 'Step B Preparation of 1-methyl-2-(4-hydroxyphenyl)indolizine', '0201', 'To a solution of 1-methyl-2-(4-methoxyphenyl)indolizine (15.6 mmol, 3.7 g) in acetic acid (15 mL) was added 48% HBr (55 mL) slowly. The mixture was stirred and heated at 100° C. for 8 hours. Solvent was removed in vacuo to give the title compound, which was used without purification.']","[{'chemical_names': ['1-methyl-2-(4-methoxyphenyl)indolizine'], 'identifiers': ['smiles:COc1ccc(-c2cn3ccccc3c2C)cc1', 'inchi:InChI=1S/C16H15NO/c1-12-15(11-17-10-4-3-5-16(12)17)13-6-8-14(18-2)9-7-13/h3-11H,1-2H3'], 'amounts': ['15.6 mmol', '3.7 g'], 'appearances': []}, {'chemical_names': ['HBr'], 'identifiers': ['smiles:Br', 'inchi:InChI=1S/BrH/h1H'], 'amounts': ['55 mL'], 'appearances': []}]","[{'chemical_names': ['title compound', '1-methyl-2-(4-hydroxyphenyl)indolizine'], 'identifiers': ['smiles:Cc1c(-c2ccc(O)cc2)cn2ccccc12', 'inchi:InChI=1S/C15H13NO/c1-11-14(12-5-7-13(17)8-6-12)10-16-9-3-2-4-15(11)16/h2-10,17H,1H3'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['15 mL'], 'appearances': []}]",[],"['step 1:To a solution of 1-methyl-2-(4-methoxyphenyl)indolizine (15.6 mmol, 3.7 g) in acetic acid (15 mL) was added 48% HBr (55 mL) slowly', 'step 2:The mixture was stirred', 'step 3:heated at 100° C. for 8 hours', 'step 3 properties:Time:28800', 'step 3 properties:Temperature:100', 'step 4:Solvent was removed in vacuo', 'step 5:to give the title compound, which']"
"['[CH3:1][C:2]1[N:3]2[C:7]([CH:8]=[CH:9][CH:10]=1)=[CH:6][C:5]([C:11]1[CH:16]=[CH:15][C:14]([O:17]C)=[CH:13][CH:12]=1)=[CH:4]2.Br', 'C(O)(=O)C', '[CH3:1][C:2]1[N:3]2[C:7]([CH:8]=[CH:9][CH:10]=1)=[CH:6][C:5]([C:11]1[CH:16]=[CH:15][C:14]([OH:17])=[CH:13][CH:12]=1)=[CH:4]2']","['US20010051632A1', 'Step B Preparation of 5-methyl-2-(4-hydroxyphenyl)indolizine', '0207', 'To a solution of 5-methyl-2-(4-methoxyphenyl)indolizine (12.8 mmol, 3.05 g) in acetic acid (15 mL) was added 48% HBr (45 mL) slowly. The mixture was stirred and heated at 100° C. for 8 hours. Solvent was removed in vacuo to give the title compound, which was used without purification.']","[{'chemical_names': ['5-methyl-2-(4-methoxyphenyl)indolizine'], 'identifiers': ['smiles:COc1ccc(-c2cc3cccc(C)n3c2)cc1', 'inchi:InChI=1S/C16H15NO/c1-12-4-3-5-15-10-14(11-17(12)15)13-6-8-16(18-2)9-7-13/h3-11H,1-2H3'], 'amounts': ['12.8 mmol', '3.05 g'], 'appearances': []}, {'chemical_names': ['HBr'], 'identifiers': ['smiles:Br', 'inchi:InChI=1S/BrH/h1H'], 'amounts': ['45 mL'], 'appearances': []}]","[{'chemical_names': ['title compound', '5-methyl-2-(4-hydroxyphenyl)indolizine'], 'identifiers': ['smiles:Cc1cccc2cc(-c3ccc(O)cc3)cn12', 'inchi:InChI=1S/C15H13NO/c1-11-3-2-4-14-9-13(10-16(11)14)12-5-7-15(17)8-6-12/h2-10,17H,1H3'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['15 mL'], 'appearances': []}]",[],"['step 1:To a solution of 5-methyl-2-(4-methoxyphenyl)indolizine (12.8 mmol, 3.05 g) in acetic acid (15 mL) was added 48% HBr (45 mL) slowly', 'step 2:The mixture was stirred', 'step 3:heated at 100° C. for 8 hours', 'step 3 properties:Time:28800', 'step 3 properties:Temperature:100', 'step 4:Solvent was removed in vacuo', 'step 5:to give the title compound, which']"
"['[CH3:1][C:2]1[N:10]2[C:5]([CH:6]=[CH:7][CH:8]=[CH:9]2)=[CH:4][C:3]=1[C:11]1[CH:16]=[CH:15][C:14]([O:17]C)=[CH:13][C:12]=1[CH3:19].Br', 'C(O)(=O)C', '[CH3:1][C:2]1[N:10]2[C:5]([CH:6]=[CH:7][CH:8]=[CH:9]2)=[CH:4][C:3]=1[C:11]1[CH:16]=[CH:15][C:14]([OH:17])=[CH:13][C:12]=1[CH3:19]']","['US20010051632A1', 'Step D Preparation of 3-methyl-2-(2-methyl-4-hydroxyphenyl)indolizine', '0243', 'To a solution of 3-methyl-2-(2-methyl-4-methoxyphenyl)indolizine in acetic acid (8.3 mL) was added 48% HBr (30 mL) slowly. The mixture was stirred and heated at 100° C. for 8 hours. Solvent was removed in vacuo to afford the title compound, which was used without purification.']","[{'chemical_names': ['3-methyl-2-(2-methyl-4-methoxyphenyl)indolizine'], 'identifiers': ['smiles:COc1ccc(-c2cc3ccccn3c2C)c(C)c1', 'inchi:InChI=1S/C17H17NO/c1-12-10-15(19-3)7-8-16(12)17-11-14-6-4-5-9-18(14)13(17)2/h4-11H,1-3H3'], 'amounts': [], 'appearances': []}, {'chemical_names': ['HBr'], 'identifiers': ['smiles:Br', 'inchi:InChI=1S/BrH/h1H'], 'amounts': ['30 mL'], 'appearances': []}]","[{'chemical_names': ['title compound', '3-methyl-2-(2-methyl-4-hydroxyphenyl)indolizine'], 'identifiers': ['smiles:Cc1cc(O)ccc1-c1cc2ccccn2c1C', 'inchi:InChI=1S/C16H15NO/c1-11-9-14(18)6-7-15(11)16-10-13-5-3-4-8-17(13)12(16)2/h3-10,18H,1-2H3'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['8.3 mL'], 'appearances': []}]",[],"['step 1:To a solution of 3-methyl-2-(2-methyl-4-methoxyphenyl)indolizine in acetic acid (8.3 mL) was added 48% HBr (30 mL) slowly', 'step 2:The mixture was stirred', 'step 3:heated at 100° C. for 8 hours', 'step 3 properties:Time:28800', 'step 3 properties:Temperature:100', 'step 4:Solvent was removed in vacuo', 'step 5:to afford the title compound, which']"
"['[C:1]1([C:7]2[C:8]([C:16]3[CH:21]=[CH:20][C:19]([O:22]C)=[CH:18][CH:17]=3)=[CH:9][N:10]3[C:15]=2[CH:14]=[CH:13][CH:12]=[CH:11]3)[CH:6]=[CH:5][CH:4]=[CH:3][CH:2]=1.Br', 'C(O)(=O)C', '[C:1]1([C:7]2[C:8]([C:16]3[CH:17]=[CH:18][C:19]([OH:22])=[CH:20][CH:21]=3)=[CH:9][N:10]3[C:15]=2[CH:14]=[CH:13][CH:12]=[CH:11]3)[CH:2]=[CH:3][CH:4]=[CH:5][CH:6]=1']","['US20010051632A1', 'Step B Preparation of 1-phenyl-2-(4-hydroxyphenyl)indolizine', '0249', 'To a solution of 1-phenyl-2-(4-methoxyphenyl)indolizine (13.5 mmol, 4.04 g) in acetic acid (13.5 mL) was added 48% HBr (47.5 mL) slowly. The mixture was stirred and heated at 100° C. for 8 hours. Solvent was removed in vacuo to give the title compound, which was used without purification.']","[{'chemical_names': ['1-phenyl-2-(4-methoxyphenyl)indolizine'], 'identifiers': ['smiles:COc1ccc(-c2cn3ccccc3c2-c2ccccc2)cc1', 'inchi:InChI=1S/C21H17NO/c1-23-18-12-10-16(11-13-18)19-15-22-14-6-5-9-20(22)21(19)17-7-3-2-4-8-17/h2-15H,1H3'], 'amounts': ['13.5 mmol', '4.04 g'], 'appearances': []}, {'chemical_names': ['HBr'], 'identifiers': ['smiles:Br', 'inchi:InChI=1S/BrH/h1H'], 'amounts': ['47.5 mL'], 'appearances': []}]","[{'chemical_names': ['title compound', '1-phenyl-2-(4-hydroxyphenyl)indolizine'], 'identifiers': ['smiles:Oc1ccc(-c2cn3ccccc3c2-c2ccccc2)cc1', 'inchi:InChI=1S/C20H15NO/c22-17-11-9-15(10-12-17)18-14-21-13-5-4-8-19(21)20(18)16-6-2-1-3-7-16/h1-14,22H'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['13.5 mL'], 'appearances': []}]",[],"['step 1:To a solution of 1-phenyl-2-(4-methoxyphenyl)indolizine (13.5 mmol, 4.04 g) in acetic acid (13.5 mL) was added 48% HBr (47.5 mL) slowly', 'step 2:The mixture was stirred', 'step 3:heated at 100° C. for 8 hours', 'step 3 properties:Time:28800', 'step 3 properties:Temperature:100', 'step 4:Solvent was removed in vacuo', 'step 5:to give the title compound, which']"
"['[CH2:1]([C:9]1[C:10]([C:18]2[CH:23]=[CH:22][C:21]([O:24]C)=[CH:20][CH:19]=2)=[CH:11][N:12]2[C:17]=1[CH:16]=[CH:15][CH:14]=[CH:13]2)[CH2:2][C:3]1[CH:8]=[CH:7][CH:6]=[CH:5][CH:4]=1.Br', 'C(O)(=O)C', '[CH2:1]([C:9]1[C:10]([C:18]2[CH:19]=[CH:20][C:21]([OH:24])=[CH:22][CH:23]=2)=[CH:11][N:12]2[C:17]=1[CH:16]=[CH:15][CH:14]=[CH:13]2)[CH2:2][C:3]1[CH:4]=[CH:5][CH:6]=[CH:7][CH:8]=1']","['US20010051632A1', 'Step B Preparation of 1-phenethyl-2-(4-hydroxyphenyl)indolizine', '0256', 'To a solution of 1-phenethyl-2-(4-methoxyphenyl)indolizine in acetic acid (12 mL) was added 48% HBr (40.6 mL) slowly. The mixture was stirred and heated at 100° C. for 8 hours. Solvent was removed in vacuo to afford the title compound, which was used without purification.']","[{'chemical_names': ['1-phenethyl-2-(4-methoxyphenyl)indolizine'], 'identifiers': ['smiles:COc1ccc(-c2cn3ccccc3c2CCc2ccccc2)cc1', 'inchi:InChI=1S/C23H21NO/c1-25-20-13-11-19(12-14-20)22-17-24-16-6-5-9-23(24)21(22)15-10-18-7-3-2-4-8-18/h2-9,11-14,16-17H,10,15H2,1H3'], 'amounts': [], 'appearances': []}, {'chemical_names': ['HBr'], 'identifiers': ['smiles:Br', 'inchi:InChI=1S/BrH/h1H'], 'amounts': ['40.6 mL'], 'appearances': []}]","[{'chemical_names': ['title compound', '1-phenethyl-2-(4-hydroxyphenyl)indolizine'], 'identifiers': ['smiles:Oc1ccc(-c2cn3ccccc3c2CCc2ccccc2)cc1', 'inchi:InChI=1S/C22H19NO/c24-19-12-10-18(11-13-19)21-16-23-15-5-4-8-22(23)20(21)14-9-17-6-2-1-3-7-17/h1-8,10-13,15-16,24H,9,14H2'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['12 mL'], 'appearances': []}]",[],"['step 1:To a solution of 1-phenethyl-2-(4-methoxyphenyl)indolizine in acetic acid (12 mL) was added 48% HBr (40.6 mL) slowly', 'step 2:The mixture was stirred', 'step 3:heated at 100° C. for 8 hours', 'step 3 properties:Time:28800', 'step 3 properties:Temperature:100', 'step 4:Solvent was removed in vacuo', 'step 5:to afford the title compound, which']"
"['[CH2:1]([C:3]1[C:4]([C:12]2[CH:17]=[CH:16][C:15]([O:18]C)=[CH:14][CH:13]=2)=[CH:5][N:6]2[C:11]=1[CH:10]=[CH:9][CH:8]=[CH:7]2)[CH3:2].Br', 'C(O)(=O)C', '[CH2:1]([C:3]1[C:4]([C:12]2[CH:13]=[CH:14][C:15]([OH:18])=[CH:16][CH:17]=2)=[CH:5][N:6]2[C:11]=1[CH:10]=[CH:9][CH:8]=[CH:7]2)[CH3:2]']","['US20010051632A1', 'Step B Preparation of 1-ethyl-2-(4-hydroxyphenyl)indolizine', '0262', 'To a solution of 1-ethyl-2-(4-methoxyphenyl)indolizine (13.5 mmol, 3.4 g) in acetic acid (15 mL) was added 48% HBr (47 mL) slowly. The mixture was stirred and heated at 100° C. for 2 days. Solvent was removed in vacuo to give the title compound, which was used without purification.']","[{'chemical_names': ['1-ethyl-2-(4-methoxyphenyl)indolizine'], 'identifiers': ['smiles:CCc1c(-c2ccc(OC)cc2)cn2ccccc12', 'inchi:InChI=1S/C17H17NO/c1-3-15-16(12-18-11-5-4-6-17(15)18)13-7-9-14(19-2)10-8-13/h4-12H,3H2,1-2H3'], 'amounts': ['13.5 mmol', '3.4 g'], 'appearances': []}, {'chemical_names': ['HBr'], 'identifiers': ['smiles:Br', 'inchi:InChI=1S/BrH/h1H'], 'amounts': ['47 mL'], 'appearances': []}]","[{'chemical_names': ['title compound', '1-ethyl-2-(4-hydroxyphenyl)indolizine'], 'identifiers': ['smiles:CCc1c(-c2ccc(O)cc2)cn2ccccc12', 'inchi:InChI=1S/C16H15NO/c1-2-14-15(12-6-8-13(18)9-7-12)11-17-10-4-3-5-16(14)17/h3-11,18H,2H2,1H3'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['15 mL'], 'appearances': []}]",[],"['step 1:To a solution of 1-ethyl-2-(4-methoxyphenyl)indolizine (13.5 mmol, 3.4 g) in acetic acid (15 mL) was added 48% HBr (47 mL) slowly', 'step 2:The mixture was stirred', 'step 3:heated at 100° C. for 2 days', 'step 3 properties:Time:172800', 'step 3 properties:Temperature:100', 'step 4:Solvent was removed in vacuo', 'step 5:to give the title compound, which']"
