reaction_smiles,sources,reactants,products,solvents,catalyst,stages
"['[NH:1]1[C:9]2[C:4](=[CH:5][CH:6]=[CH:7][CH:8]=2)[CH2:3][C:2]1=[O:10].[I:11]N1C(=O)CCC1=O', 'C(O)(=O)C', '[I:11][C:6]1[CH:5]=[C:4]2[C:9](=[CH:8][CH:7]=1)[NH:1][C:2](=[O:10])[CH2:3]2']","['US20010056094A1', '0179', '2-Oxindole (82.9 g) was suspended in 630 mL of acetic acid with mechanical stirring and the mixture cooled to 10° C. in an ice water bath. Solid N-iodosuccinimide (175 g) was added in portions over 10 minutes. After the addition was complete the mixture was stirred for 1.0 hour at 10° C. The suspended solid which had always present became very thick at this time. The solid was collected by vacuum filtration, washed with 100 mL of 50% acetic acid in water and then with 200 mL of water and sucked dry for 20 minutes in the funnel. The product was dried under vacuum to give 93.5 g (36%) of 5-iodo-2-oxindole containing about 5% 2-oxindole by proton NMR.']","[{'chemical_names': ['2-Oxindole'], 'identifiers': ['smiles:O=C1Cc2ccccc2N1', 'inchi:InChI=1S/C8H7NO/c10-8-5-6-3-1-2-4-7(6)9-8/h1-4H,5H2,(H,9,10)'], 'amounts': ['82.9 g'], 'appearances': []}, {'chemical_names': ['N-iodosuccinimide'], 'identifiers': ['smiles:O=C1CCC(=O)N1I', 'inchi:InChI=1S/C4H4INO2/c5-6-3(7)1-2-4(6)8/h1-2H2'], 'amounts': ['175 g'], 'appearances': []}]","[{'chemical_names': ['5-iodo-2-oxindole'], 'identifiers': ['smiles:O=C1Cc2cc(I)ccc2N1', 'inchi:InChI=1S/C8H6INO/c9-6-1-2-7-5(3-6)4-8(11)10-7/h1-3H,4H2,(H,10,11)'], 'amounts': ['93.5 g', '58.0'], 'appearances': []}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['630 mL'], 'appearances': []}]",[],"['step 1:with mechanical stirring', 'step 2:the mixture cooled to 10° C. in an ice water bath', 'step 2 properties:Temperature:10', 'step 3:Solid N-iodosuccinimide (175 g) was added in portions over 10 minutes', 'step 3 properties:Time:600', 'step 4:After the addition', 'step 5:was stirred for 1.0 hour at 10° C', 'step 5 properties:Time:3600', 'step 5 properties:Temperature:10', 'step 6:The solid was collected by vacuum filtration', 'step 7:washed with 100 mL of 50% acetic acid in water', 'step 8:with 200 mL of water and sucked dry for 20 minutes in the funnel', 'step 8 properties:Time:1200', 'step 9:The product was dried under vacuum', 'step 10:to give 93.5 g (36%) of 5-iodo-2-oxindole containing about 5% 2-oxindole by proton NMR']"
"['[CH3:1][C:2]1[CH:10]=[CH:9][CH:8]=[C:7]2[C:3]=1[CH2:4][C:5](=[O:11])[NH:6]2.[I:12]N1C(=O)CCC1=O', 'C(O)(=O)C.O', '[I:12][C:10]1[C:2]([CH3:1])=[C:3]2[C:7](=[CH:8][CH:9]=1)[NH:6][C:5](=[O:11])[CH2:4]2']","['US20010056094A1', '5-Iodo-4-methyl-2-oxindole', '0201', 'To 2 g of 4-methyl-2-oxindole in 40 mL of glacial acetic acid in an ice bath was added 3.67 g N-iodosuccinimide. The mixture was stirred for 1 hour, diluted with 100 mL 50% acetic acid in water and filtered. The resulting white solid was dried under high vacuum to give 3.27 g (88% yield) of the title compound as an off-white solid.']","[{'chemical_names': ['4-methyl-2-oxindole'], 'identifiers': ['smiles:Cc1cccc2c1CC(=O)N2', 'inchi:InChI=1S/C9H9NO/c1-6-3-2-4-8-7(6)5-9(11)10-8/h2-4H,5H2,1H3,(H,10,11)'], 'amounts': ['2 g'], 'appearances': []}, {'chemical_names': ['N-iodosuccinimide'], 'identifiers': ['smiles:O=C1CCC(=O)N1I', 'inchi:InChI=1S/C4H4INO2/c5-6-3(7)1-2-4(6)8/h1-2H2'], 'amounts': ['3.67 g'], 'appearances': []}]","[{'chemical_names': ['title compound', '5-Iodo-4-methyl-2-oxindole'], 'identifiers': ['smiles:Cc1c(I)ccc2c1CC(=O)N2', 'inchi:InChI=1S/C9H8INO/c1-5-6-4-9(12)11-8(6)3-2-7(5)10/h2-3H,4H2,1H3,(H,11,12)'], 'amounts': ['3.27 g', '88% yield', '88.1'], 'appearances': ['off-white']}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['40 mL'], 'appearances': []}, {'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['100 mL'], 'appearances': []}, {'chemical_names': ['water'], 'identifiers': ['smiles:O', 'inchi:InChI=1S/H2O/h1H2'], 'amounts': [], 'appearances': []}]",[],"['step 1:To 2 g of 4-methyl-2-oxindole in 40 mL of glacial acetic acid in an ice bath was added 3.67 g N-iodosuccinimide', 'step 2:The mixture was stirred for 1 hour', 'step 2 properties:Time:3600', 'step 3:diluted with 100 mL 50% acetic acid in water', 'step 4:filtered', 'step 5:The resulting white solid was dried under high vacuum', 'step 6:to give 3.27 g (88% yield) of the title compound as an off-white solid']"
"['[CH3:1][C:2]1[CH:10]=[CH:9][CH:8]=[C:7]2[C:3]=1[CH2:4][C:5](=[O:11])[NH:6]2.[I:12]N1C(=O)CCC1=O', 'C(O)(=O)C.O', '[I:12][C:10]1[C:2]([CH3:1])=[C:3]2[C:7](=[CH:8][CH:9]=1)[NH:6][C:5](=[O:11])[CH2:4]2']","['US20010056094A1', '5-Iodo-4-methyl-2-oxindole', '0201', 'To 2 g of 4-methyl-2-oxindole in 40 mL of glacial acetic acid in an ice bath was added 3.67 g N-iodosuccinimide. The mixture was stirred for 1 hour, diluted with 100 mL 50% acetic acid in water and filtered. The resulting white solid was dried under high vacuum to give 3.27 g (88% yield) of the title compound as an off-white solid.']","[{'chemical_names': ['4-methyl-2-oxindole'], 'identifiers': ['smiles:Cc1cccc2c1CC(=O)N2', 'inchi:InChI=1S/C9H9NO/c1-6-3-2-4-8-7(6)5-9(11)10-8/h2-4H,5H2,1H3,(H,10,11)'], 'amounts': ['2 g'], 'appearances': []}, {'chemical_names': ['N-iodosuccinimide'], 'identifiers': ['smiles:O=C1CCC(=O)N1I', 'inchi:InChI=1S/C4H4INO2/c5-6-3(7)1-2-4(6)8/h1-2H2'], 'amounts': ['3.67 g'], 'appearances': []}]","[{'chemical_names': ['title compound', '5-Iodo-4-methyl-2-oxindole'], 'identifiers': ['smiles:Cc1c(I)ccc2c1CC(=O)N2', 'inchi:InChI=1S/C9H8INO/c1-5-6-4-9(12)11-8(6)3-2-7(5)10/h2-3H,4H2,1H3,(H,11,12)'], 'amounts': ['3.27 g', '88% yield', '88.1'], 'appearances': ['off-white']}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['40 mL'], 'appearances': []}, {'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['100 mL'], 'appearances': []}, {'chemical_names': ['water'], 'identifiers': ['smiles:O', 'inchi:InChI=1S/H2O/h1H2'], 'amounts': [], 'appearances': []}]",[],"['step 1:To 2 g of 4-methyl-2-oxindole in 40 mL of glacial acetic acid in an ice bath was added 3.67 g N-iodosuccinimide', 'step 2:The mixture was stirred for 1 hour', 'step 2 properties:Time:3600', 'step 3:diluted with 100 mL 50% acetic acid in water', 'step 4:filtered', 'step 5:The resulting white solid was dried under high vacuum', 'step 6:to give 3.27 g (88% yield) of the title compound as an off-white solid']"
"['Br[C:2]1(Br)[C:10]2[C:5](=[N:6][CH:7]=[CH:8][CH:9]=2)[NH:4][C:3]1=[O:11].[C:13]([OH:16])(=[O:15])[CH3:14]', 'C(#N)C.[Zn]', '[C:13]([OH:16])(=[O:15])[CH3:14].[NH:4]1[C:5]2[C:10](=[CH:9][CH:8]=[CH:7][N:6]=2)[CH2:2][C:3]1=[O:11] |f:4.5|']","['US20010056094A1', '0210', '3,3-Dibromo-7-azaoxindole (2.9 g) was dissolved in a mixture of 20 mL of acetic acid and 30 mL of acetonitrile. To the solution was added 6.5 g of zinc dust. The mixture was stirred for 2 hrs at room temperature. The solid was filtered from the mixture and the solvent evaporated. The residue was slurried with ethyl acetate. The ethyl acetate solution containing insoluble solid was passed through a short column of silica gel. The collected ethyl acetate solution was evaporated and the residue dried under vacuum to give 1.8 g (yield 91%) of 7-azaoxindole acetic acid salt.']","[{'chemical_names': ['3,3-Dibromo-7-azaoxindole'], 'identifiers': ['smiles:O=C1Nc2ncccc2C1(Br)Br', 'inchi:InChI=1S/C7H4Br2N2O/c8-7(9)4-2-1-3-10-5(4)11-6(7)12/h1-3H,(H,10,11,12)'], 'amounts': ['2.9 g'], 'appearances': []}, {'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['20 mL'], 'appearances': []}]","[{'chemical_names': ['7-azaoxindole acetic acid salt'], 'identifiers': ['smiles:CC(=O)O.O=C1Cc2cccnc2N1', 'inchi:InChI=1S/C7H6N2O.C2H4O2/c10-6-4-5-2-1-3-8-7(5)9-6;1-2(3)4/h1-3H,4H2,(H,8,9,10);1H3,(H,3,4)'], 'amounts': ['1.8 g', 'yield 91%'], 'appearances': []}]","[{'chemical_names': ['acetonitrile'], 'identifiers': ['smiles:CC#N', 'inchi:InChI=1S/C2H3N/c1-2-3/h1H3'], 'amounts': ['30 mL'], 'appearances': []}]","[{'chemical_names': ['zinc'], 'identifiers': ['smiles:[Zn]', 'inchi:InChI=1S/Zn'], 'amounts': ['6.5 g'], 'appearances': []}]","['step 1:3,3-Dibromo-7-azaoxindole (2.9 g) was dissolved in a mixture of 20 mL of acetic acid and 30 mL of acetonitrile', 'step 2:To the solution was added 6.5 g of zinc dust', 'step 3:The mixture was stirred for 2 hrs at room temperature', 'step 3 properties:Time:7200', 'step 3 properties:Temperature:room temperature', 'step 4:The solid was filtered from the mixture', 'step 5:the solvent evaporated', 'step 6:The ethyl acetate solution containing insoluble solid', 'step 7:The collected ethyl acetate solution was evaporated', 'step 8:the residue dried under vacuum', 'step 9:to give 1.8 g (yield 91%) of 7-azaoxindole acetic acid salt']"
"['[N+:1]([C:4]1[CH:5]=[C:6]([C:14]2[CH:19]=[CH:18][CH:17]=[CH:16][CH:15]=2)[CH:7]=[CH:8][C:9]=1[CH2:10][C:11](O)=[O:12])([O-])=O', 'C(O)(=O)C.[Fe]', '[C:14]1([C:6]2[CH:5]=[C:4]3[C:9]([CH2:10][C:11](=[O:12])[NH:1]3)=[CH:8][CH:7]=2)[CH:19]=[CH:18][CH:17]=[CH:16][CH:15]=1']","['US20010056094A1', '0214', 'Iron powder (2.6 g) was added all at once to 4.5 g of 3-nitrobiphenyl-4-acetic acid in 40 mL of acetic acid. The mixture was refluxed for 2 hours, concentrated to dryness and taken up in ethyl acetate. The solids were removed by filtration and the filtrate washed twice with 1N hydrochloric acid and brine and dried over anhydrous sodium sulfate. The filtrate was concentrated to give 3.4 g (93% yield) of 6-phenyl-2-oxindole as a light brown solid.']","[{'chemical_names': ['3-nitrobiphenyl-4-acetic acid'], 'identifiers': ['smiles:O=C(O)Cc1ccc(-c2ccccc2)cc1[N+](=O)[O-]', 'inchi:InChI=1S/C14H11NO4/c16-14(17)9-12-7-6-11(8-13(12)15(18)19)10-4-2-1-3-5-10/h1-8H,9H2,(H,16,17)'], 'amounts': ['4.5 g'], 'appearances': []}]","[{'chemical_names': ['6-phenyl-2-oxindole'], 'identifiers': ['smiles:O=C1Cc2ccc(-c3ccccc3)cc2N1', 'inchi:InChI=1S/C14H11NO/c16-14-9-12-7-6-11(8-13(12)15-14)10-4-2-1-3-5-10/h1-8H,9H2,(H,15,16)'], 'amounts': ['3.4 g', '93% yield', '92.9'], 'appearances': ['light brown']}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['40 mL'], 'appearances': []}]","[{'chemical_names': ['Iron'], 'identifiers': ['smiles:[Fe]', 'inchi:InChI=1S/Fe'], 'amounts': ['2.6 g'], 'appearances': []}]","['step 1:Iron powder (2.6 g) was added all at once to 4.5 g of 3-nitrobiphenyl-4-acetic acid in 40 mL of acetic acid', 'step 2:The mixture was refluxed for 2 hours', 'step 2 properties:Time:7200', 'step 3:concentrated to dryness', 'step 4:The solids were removed by filtration', 'step 5:the filtrate washed twice with 1N hydrochloric acid and brine', 'step 6:dried over anhydrous sodium sulfate', 'step 7:The filtrate was concentrated', 'step 8:to give 3.4 g (93% yield) of 6-phenyl-2-oxindole as a light brown solid']"
"['[CH3:1][O:2][C:3]1[CH:8]=[CH:7][CH:6]=[CH:5][C:4]=1[C:9]1[CH:14]=[CH:13][C:12]([CH2:15][C:16](O)=[O:17])=[C:11]([N+:19]([O-])=O)[CH:10]=1', 'C(O)(=O)C.[Fe]', '[CH3:1][O:2][C:3]1[CH:8]=[CH:7][CH:6]=[CH:5][C:4]=1[C:9]1[CH:10]=[C:11]2[C:12]([CH2:15][C:16](=[O:17])[NH:19]2)=[CH:13][CH:14]=1']","['US20010056094A1', '0218', 'Iron powder (5 g) was added in one portion to 9.8 g of 2′-methoxy-3-nitrobiphenyl-4-acetic acid in 50 mL of glacial acetic acid was heated to 100° C. for 3 hours. The reaction mixture was concentrated to dryness, sonicated in ethyl acetate and filtered to remove the insolubles. The filtrate was washed twice with 1N hydrochloric acid, water and then brine, dried over anhydrous sodium sulfate and concentrated. The residue was chromatographed on silica gel in ethyl acetate:hexane (1:2) to give 5.4 g of 6-(2-methoxyphenyl)-2-oxindole as a rose colored solid.']","[{'chemical_names': ['2′-methoxy-3-nitrobiphenyl-4-acetic acid'], 'identifiers': ['smiles:COc1ccccc1-c1ccc(CC(=O)O)c([N+](=O)[O-])c1', 'inchi:InChI=1S/C15H13NO5/c1-21-14-5-3-2-4-12(14)10-6-7-11(9-15(17)18)13(8-10)16(19)20/h2-8H,9H2,1H3,(H,17,18)'], 'amounts': ['9.8 g'], 'appearances': []}]","[{'chemical_names': ['6-(2-methoxyphenyl)-2-oxindole'], 'identifiers': ['smiles:COc1ccccc1-c1ccc2c(c1)NC(=O)C2', 'inchi:InChI=1S/C15H13NO2/c1-18-14-5-3-2-4-12(14)10-6-7-11-9-15(17)16-13(11)8-10/h2-8H,9H2,1H3,(H,16,17)'], 'amounts': ['5.4 g', '66.2'], 'appearances': []}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['50 mL'], 'appearances': []}]","[{'chemical_names': ['Iron'], 'identifiers': ['smiles:[Fe]', 'inchi:InChI=1S/Fe'], 'amounts': ['5 g'], 'appearances': []}]","['step 1:Iron powder (5 g) was added in one portion to 9.8 g of 2′-methoxy-3-nitrobiphenyl-4-acetic acid in 50 mL of glacial acetic acid', 'step 2:was heated to 100° C. for 3 hours', 'step 2 properties:Time:10800', 'step 2 properties:Temperature:100', 'step 3:The reaction mixture was concentrated to dryness', 'step 4:sonicated in ethyl acetate', 'step 5:filtered', 'step 6:to remove the insolubles', 'step 7:The filtrate was washed twice with 1N hydrochloric acid, water', 'step 8:brine, dried over anhydrous sodium sulfate', 'step 9:concentrated', 'step 10:The residue was chromatographed on silica gel in ethyl acetate:hexane (1:2)', 'step 11:to give 5.4 g of 6-(2-methoxyphenyl)-2-oxindole as']"
"['[CH3:1][O:2][C:3]1[CH:8]=[CH:7][C:6]([C:9]2[CH:14]=[CH:13][C:12]([CH2:15][C:16](O)=[O:17])=[C:11]([N+:19]([O-])=O)[CH:10]=2)=[CH:5][CH:4]=1', 'C(O)(=O)C.[Fe]', '[CH3:1][O:2][C:3]1[CH:8]=[CH:7][C:6]([C:9]2[CH:10]=[C:11]3[C:12]([CH2:15][C:16](=[O:17])[NH:19]3)=[CH:13][CH:14]=2)=[CH:5][CH:4]=1']","['US20010056094A1', '0226', 'Iron powder (3.6 g) was added in one portion to 7.2 g of 4′-methoxy-3-nitrobiphenyl-4-acetic acid in 50 mL of glacial acetic acid and heated at 100° C. overnight. The reaction mixture was concentrated to dryness, sonicated in ethyl acetate and filtered to remove the insolubles. The filtrate was washed twice with 1N hydrochloric acid and brine, dried over anhydrous sodium sulfate and concentrated to give 2.7 g of 6-(4-methoxyphenyl)-2-oxindole as a rose colored solid.']","[{'chemical_names': ['4′-methoxy-3-nitrobiphenyl-4-acetic acid'], 'identifiers': ['smiles:COc1ccc(-c2ccc(CC(=O)O)c([N+](=O)[O-])c2)cc1', 'inchi:InChI=1S/C15H13NO5/c1-21-13-6-4-10(5-7-13)11-2-3-12(9-15(17)18)14(8-11)16(19)20/h2-8H,9H2,1H3,(H,17,18)'], 'amounts': ['7.2 g'], 'appearances': []}]","[{'chemical_names': ['6-(4-methoxyphenyl)-2-oxindole'], 'identifiers': ['smiles:COc1ccc(-c2ccc3c(c2)NC(=O)C3)cc1', 'inchi:InChI=1S/C15H13NO2/c1-18-13-6-4-10(5-7-13)11-2-3-12-9-15(17)16-14(12)8-11/h2-8H,9H2,1H3,(H,16,17)'], 'amounts': ['2.7 g', '45.0'], 'appearances': []}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['50 mL'], 'appearances': []}]","[{'chemical_names': ['Iron'], 'identifiers': ['smiles:[Fe]', 'inchi:InChI=1S/Fe'], 'amounts': ['3.6 g'], 'appearances': []}]","['step 1:Iron powder (3.6 g) was added in one portion to 7.2 g of 4′-methoxy-3-nitrobiphenyl-4-acetic acid in 50 mL of glacial acetic acid', 'step 2:heated at 100° C. overnight', 'step 2 properties:Time:overnight', 'step 2 properties:Temperature:100', 'step 3:The reaction mixture was concentrated to dryness', 'step 4:sonicated in ethyl acetate', 'step 5:filtered', 'step 6:to remove the insolubles', 'step 7:The filtrate was washed twice with 1N hydrochloric acid and brine', 'step 8:dried over anhydrous sodium sulfate', 'step 9:concentrated', 'step 10:to give 2.7 g of 6-(4-methoxyphenyl)-2-oxindole as']"
"['[CH2:1]([O:3][C:4]1[CH:5]=[C:6]([C:10]2[CH:15]=[CH:14][C:13]([CH2:16][C:17](O)=[O:18])=[C:12]([N+:20]([O-])=O)[CH:11]=2)[CH:7]=[CH:8][CH:9]=1)[CH3:2]', 'C(O)(=O)C.[Fe]', '[CH2:1]([O:3][C:4]1[CH:5]=[C:6]([C:10]2[CH:11]=[C:12]3[C:13]([CH2:16][C:17](=[O:18])[NH:20]3)=[CH:14][CH:15]=2)[CH:7]=[CH:8][CH:9]=1)[CH3:2]']","['US20010056094A1', '0230', 'Iron powder (2.4 g) was added in one portion to 4.6 g of 3′-ethoxy-3-nitrobiphenyl-4-acetic acid in 40 mL of glacial acetic acid and refluxed for 2 hours. The reaction mixture was concentrated to dryness, treated repeatedly with ethyl acetate and filtered to remove the insolubles. The filtrate was washed twice with 1N hydrochloric acid and brine and then dried over anhydrous sodium sulfate and concentrated to give 3.5 g (91% yield) of 6-(3-ethoxyphenyl)-2-oxindole as a light brown solid.']","[{'chemical_names': ['3′-ethoxy-3-nitrobiphenyl-4-acetic acid'], 'identifiers': ['smiles:CCOc1cccc(-c2ccc(CC(=O)O)c([N+](=O)[O-])c2)c1', 'inchi:InChI=1S/C16H15NO5/c1-2-22-14-5-3-4-11(8-14)12-6-7-13(10-16(18)19)15(9-12)17(20)21/h3-9H,2,10H2,1H3,(H,18,19)'], 'amounts': ['4.6 g'], 'appearances': []}]","[{'chemical_names': ['6-(3-ethoxyphenyl)-2-oxindole'], 'identifiers': ['smiles:CCOc1cccc(-c2ccc3c(c2)NC(=O)C3)c1', 'inchi:InChI=1S/C16H15NO2/c1-2-19-14-5-3-4-11(8-14)12-6-7-13-10-16(18)17-15(13)9-12/h3-9H,2,10H2,1H3,(H,17,18)'], 'amounts': ['3.5 g', '91% yield', '90.5'], 'appearances': ['light brown']}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['40 mL'], 'appearances': []}]","[{'chemical_names': ['Iron'], 'identifiers': ['smiles:[Fe]', 'inchi:InChI=1S/Fe'], 'amounts': ['2.4 g'], 'appearances': []}]","['step 1:Iron powder (2.4 g) was added in one portion to 4.6 g of 3′-ethoxy-3-nitrobiphenyl-4-acetic acid in 40 mL of glacial acetic acid', 'step 2:refluxed for 2 hours', 'step 2 properties:Time:7200', 'step 3:The reaction mixture was concentrated to dryness', 'step 4:treated repeatedly with ethyl acetate', 'step 5:filtered', 'step 6:to remove the insolubles', 'step 7:The filtrate was washed twice with 1N hydrochloric acid and brine', 'step 8:dried over anhydrous sodium sulfate', 'step 9:concentrated', 'step 10:to give 3.5 g (91% yield) of 6-(3-ethoxyphenyl)-2-oxindole as a light brown solid']"
"['[CH3:1][O:2][C:3]1[CH:8]=[CH:7][C:6]([CH:9]=[C:10]([C:14]2[CH:19]=[CH:18][CH:17]=[CH:16][CH:15]=2)[C:11]([OH:13])=[O:12])=[CH:5][CH:4]=1', '[Pd].C(O)(=O)C', '[CH3:1][O:2][C:3]1[CH:4]=[CH:5][C:6]([CH2:9][CH:10]([C:14]2[CH:19]=[CH:18][CH:17]=[CH:16][CH:15]=2)[C:11]([OH:13])=[O:12])=[CH:7][CH:8]=1']","['US20010056109A1', '(b) 3-(4-Methoxyphenyl)-2-phenylpropanoic acid', '0165', 'Palladium on activated carbon (10% wt., 2.77 g) was added to a solution of 3-(4-methoxyphenyl)-2-phenylacrylic acid (27.7 g, 0.11 mol) in acetic acid (1000 ml). The mixture was hydrogenated at ambient temperature. The mixture was filtered through Celite, and the solvent was evaporated. The product was recrystallized from a small amount of ethyl acetate. Melting point 220-221° C.']","[{'chemical_names': ['3-(4-methoxyphenyl)-2-phenylacrylic acid'], 'identifiers': ['smiles:COc1ccc(C=C(C(=O)O)c2ccccc2)cc1', 'inchi:InChI=1S/C16H14O3/c1-19-14-9-7-12(8-10-14)11-15(16(17)18)13-5-3-2-4-6-13/h2-11H,1H3,(H,17,18)'], 'amounts': ['0.11 mol', '27.7 g'], 'appearances': []}]","[{'chemical_names': ['3-(4-Methoxyphenyl)-2-phenylpropanoic acid'], 'identifiers': ['smiles:COc1ccc(CC(C(=O)O)c2ccccc2)cc1', 'inchi:InChI=1S/C16H16O3/c1-19-14-9-7-12(8-10-14)11-15(16(17)18)13-5-3-2-4-6-13/h2-10,15H,11H2,1H3,(H,17,18)'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': ['1000 ml'], 'appearances': []}]","[{'chemical_names': ['Palladium on activated carbon'], 'identifiers': ['smiles:[Pd]', 'inchi:InChI=1S/Pd'], 'amounts': ['2.77 g'], 'appearances': []}]","['step 1:Palladium on activated carbon (10% wt., 2.77 g) was added to a solution of 3-(4-methoxyphenyl)-2-phenylacrylic acid (27.7 g, 0.11 mol) in acetic acid (1000 ml)', 'step 2:was hydrogenated at ambient temperature', 'step 2 properties:Temperature:room temperature', 'step 3:The mixture was filtered through Celite', 'step 4:the solvent was evaporated', 'step 5:The product was recrystallized from a small amount of ethyl acetate']"
"['C([N:8]1[C:12]([CH:13]=[C:14]2[C:22]3[C:17](=[CH:18][CH:19]=[CH:20][CH:21]=3)[CH2:16][CH:15]2[C:23]2[CH:28]=[CH:27][CH:26]=[CH:25][CH:24]=2)=[CH:11][N:10]=[CH:9]1)C1C=CC=CC=1.C(N1C(C=C2C3C(=CC=C(OC)C=3)CC2C2C=CC=CC=2)=CN=C1)C1C=CC=CC=1', 'C(O)(=O)C.[Pd]', '[C:23]1([CH:15]2[CH2:16][C:17]3[C:22](=[CH:21][CH:20]=[CH:19][CH:18]=3)[CH:14]2[CH2:13][C:12]2[N:8]=[CH:9][NH:10][CH:11]=2)[CH:28]=[CH:27][CH:26]=[CH:25][CH:24]=1']","['US20010056109A1', '(d) 4-[(2,3-Dihydro-2-phenyl-1H-inden-1-yl)methyl]-1H-imidazole', '0195', 'The crude 1-benzyl-5-(2-phenylindan-1-ylidenemethyl)-1H-imidazole in acetic acid was shaken with palladium on charcoal as 1-benzyl-5-(6-methoxy-2-phenylindan-1-ylidenemethyl)-1H-imidazole above except in this case for 2 days at 60-70° C. under normal pressure. The hydrochloride salt of the purified product was the mixture of the cis and trans diastereomers (cis:trans 96:4).']","[{'chemical_names': ['1-benzyl-5-(2-phenylindan-1-ylidenemethyl)-1H-imidazole'], 'identifiers': ['smiles:C(=C1c2ccccc2CC1c1ccccc1)c1cncn1Cc1ccccc1', 'inchi:InChI=1S/C26H22N2/c1-3-9-20(10-4-1)18-28-19-27-17-23(28)16-26-24-14-8-7-13-22(24)15-25(26)21-11-5-2-6-12-21/h1-14,16-17,19,25H,15,18H2'], 'amounts': [], 'appearances': []}, {'chemical_names': ['1-benzyl-5-(6-methoxy-2-phenylindan-1-ylidenemethyl)-1H-imidazole'], 'identifiers': ['smiles:COc1ccc2c(c1)C(=Cc1cncn1Cc1ccccc1)C(c1ccccc1)C2', 'inchi:InChI=1S/C27H24N2O/c1-30-24-13-12-22-14-25(21-10-6-3-7-11-21)27(26(22)16-24)15-23-17-28-19-29(23)18-20-8-4-2-5-9-20/h2-13,15-17,19,25H,14,18H2,1H3'], 'amounts': [], 'appearances': []}, {'chemical_names': ['hydrochloride salt'], 'identifiers': [], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['4-[(2,3-Dihydro-2-phenyl-1H-inden-1-yl)methyl]-1H-imidazole'], 'identifiers': ['smiles:c1ccc(C2Cc3ccccc3C2Cc2c[nH]cn2)cc1', 'inchi:InChI=1S/C19H18N2/c1-2-6-14(7-3-1)18-10-15-8-4-5-9-17(15)19(18)11-16-12-20-13-21-16/h1-9,12-13,18-19H,10-11H2,(H,20,21)'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['acetic acid'], 'identifiers': ['smiles:CC(=O)O', 'inchi:InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['palladium on charcoal'], 'identifiers': ['smiles:[Pd]', 'inchi:InChI=1S/Pd'], 'amounts': [], 'appearances': []}]","['step 1:The crude 1-benzyl-5-(2-phenylindan-1-ylidenemethyl)-1H-imidazole in acetic acid was shaken with palladium on charcoal as 1-benzyl-5-(6-methoxy-2-phenylindan-1-ylidenemethyl)-1H-imidazole above except in this case for 2 days at 60-70° C. under normal pressure', 'step 1 properties:Time:172800', 'step 1 properties:Temperature:60 to 70', 'step 2:the mixture of the cis and trans diastereomers (cis:trans 96:4)']"
