reaction_smiles,sources,reactants,products,solvents,catalyst,stages
"['[OH:1][OH:2].[C:3](=[O:6])([O-:5])[O-:4].[Na+:7].[Na+]', '', '[C:3]([O-:6])([O-:5])=[O:4].[C:3]([O-:6])([O-:5])=[O:4].[OH:1][OH:2].[OH:1][OH:2].[OH:1][OH:2].[Na+:7].[Na+:7].[Na+:7].[Na+:7] |f:1.2.3,4.5.6.7.8.9.10.11.12|']","['US20010014306A1', '0046', 'According to a second aspect of the present invention, in some embodiments there is provided a process for the manufacture of sodium percarbonate in which hydrogen peroxide, sodium carbonate and an aqueous liquor are introduced into a reaction vessel in which the hydrogen peroxide and sodium carbonate react forming sodium percarbonate which precipitates out of solution, the precipitated sodium percarbonate is separated from the mother liquor and recovered as product and at least a fraction of the mother liquor is recycled to the reaction vessel characterised in that at least a fraction of the sodium carbonate introduced into the reaction vessel is dissolved in mother liquor that has been separated from the precipitated sodium percarbonate and/or otherwise withdrawn from the reaction vessel and the mother liquor containing an enhanced concentration of sodium carbonate is thereafter recycled to the reaction vessel and at least a fraction of the sodium carbonate is introduced in solid form directly into the reaction vessel or into a recycle of liquor withdrawn from and returned into the reaction vessel.']","[{'chemical_names': ['hydrogen peroxide'], 'identifiers': ['smiles:OO', 'inchi:InChI=1S/H2O2/c1-2/h1-2H'], 'amounts': [], 'appearances': []}, {'chemical_names': ['sodium carbonate'], 'identifiers': ['smiles:O=C([O-])[O-].[Na+].[Na+]', 'inchi:InChI=1S/CH2O3.2Na/c2-1(3)4;;/h(H2,2,3,4);;/q;2*+1/p-2'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['sodium percarbonate'], 'identifiers': ['smiles:O=C([O-])[O-].O=C([O-])[O-].OO.OO.OO.[Na+].[Na+].[Na+].[Na+]', 'inchi:InChI=1S/2CH2O3.4Na.3H2O2/c2*2-1(3)4;;;;;3*1-2/h2*(H2,2,3,4);;;;;3*1-2H/q;;4*+1;;;/p-4'], 'amounts': [], 'appearances': []}]",[],[],"['step 1:an aqueous liquor are introduced into a reaction vessel in which the hydrogen peroxide and sodium carbonate', 'step 2:react', 'step 3:forming sodium percarbonate which']"
"['[CH2:1]=[CH:2][C:3](=[CH2:5])[CH3:4].[CH2:6]=[CH:7][C:8]1C=CC=C[CH:9]=1.[Li][Li]', '', '[CH2:1]=[CH:2][C:3](=[CH2:4])[CH3:5].[CH2:6]=[CH:7][CH:8]=[CH2:9] |f:3.4|']","['US20010014384A1', '0101', 'A method in which isoprene or an isoprene/butadiene mixture is polymerized and, then, styrene or its derivative is subjected to polymerization using an initiator consisting of a dilithium compound.']","[{'chemical_names': ['isoprene'], 'identifiers': ['smiles:C=CC(=C)C', 'inchi:InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3'], 'amounts': [], 'appearances': []}, {'chemical_names': ['styrene'], 'identifiers': ['smiles:C=Cc1ccccc1', 'inchi:InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2'], 'amounts': [], 'appearances': []}, {'chemical_names': ['dilithium'], 'identifiers': ['smiles:[Li][Li]', 'inchi:InChI=1S/2Li'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['isoprene butadiene'], 'identifiers': ['smiles:C=CC(=C)C.C=CC=C', 'inchi:InChI=1S/C5H8.C4H6/c1-4-5(2)3;1-3-4-2/h4H,1-2H2,3H3;3-4H,1-2H2'], 'amounts': [], 'appearances': []}]",[],[],"['step 1:A method in which isoprene or an isoprene/butadiene mixture is polymerized', 'step 2:styrene or its derivative is subjected to polymerization']"
"['[CH3:1][C:2]1([OH:12])[CH:9]2[CH2:10][CH:5]3[CH2:6][CH:7]([CH2:11][CH:3]1[CH2:4]3)[CH2:8]2.CN(C)C.[C:17](Cl)(=[O:21])[C:18]([CH3:20])=[CH2:19]', 'C(C(C)=O)C(C)C', '[C:17]([O:12][C:2]1([CH3:1])[CH:3]2[CH2:11][CH:7]3[CH2:6][CH:5]([CH2:10][CH:9]1[CH2:8]3)[CH2:4]2)(=[O:21])[C:18]([CH3:20])=[CH2:19]']","['US20010014428A1', '0095', 'A vessel was charged with 83.1 g of 2-methyl-2-adamantanol and 101 g of trimethylamine, and 200 g of methyl isobutyl ketone was added thereto to form a solution. To the solution was added dropwise 78.4 g of methacrylic acid chloride (1.5 times the molar amount of 2-methyl-2-adamantanol), followed by stirring for about 10 hours at room temperature. After filtration, the resulting organic layer was washed with an aqueous solution of 5 wt % sodium bicarbonate and then washed with water twice. The organic layer was concentrated and then distilled under reduced pressure to obtain 2-methyl-2-adamantyl methacrylate represented by the following formula.']","[{'chemical_names': ['2-methyl-2-adamantanol'], 'identifiers': ['smiles:CC1(O)C2CC3CC(C2)CC1C3', 'inchi:InChI=1S/C11H18O/c1-11(12)9-3-7-2-8(5-9)6-10(11)4-7/h7-10,12H,2-6H2,1H3'], 'amounts': ['83.1 g'], 'appearances': []}, {'chemical_names': ['trimethylamine'], 'identifiers': ['smiles:CN(C)C', 'inchi:InChI=1S/C3H9N/c1-4(2)3/h1-3H3'], 'amounts': ['101 g'], 'appearances': []}, {'chemical_names': ['methacrylic acid chloride'], 'identifiers': ['smiles:C=C(C)C(=O)Cl', 'inchi:InChI=1S/C4H5ClO/c1-3(2)4(5)6/h1H2,2H3'], 'amounts': ['78.4 g'], 'appearances': []}, {'chemical_names': ['2-methyl-2-adamantanol'], 'identifiers': ['smiles:CC1(O)C2CC3CC(C2)CC1C3', 'inchi:InChI=1S/C11H18O/c1-11(12)9-3-7-2-8(5-9)6-10(11)4-7/h7-10,12H,2-6H2,1H3'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['2-methyl-2-adamantyl methacrylate'], 'identifiers': ['smiles:C=C(C)C(=O)OC1(C)C2CC3CC(C2)CC1C3', 'inchi:InChI=1S/C15H22O2/c1-9(2)14(16)17-15(3)12-5-10-4-11(7-12)8-13(15)6-10/h10-13H,1,4-8H2,2-3H3'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['methyl isobutyl ketone'], 'identifiers': ['smiles:CC(=O)CC(C)C', 'inchi:InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3'], 'amounts': ['200 g'], 'appearances': []}]",[],"['step 1:A vessel was charged with 83.1 g of 2-methyl-2-adamantanol and 101 g of trimethylamine, and 200 g of methyl isobutyl ketone', 'step 2:was added', 'step 3:to form a solution', 'step 4:To the solution was added dropwise 78.4 g of methacrylic acid chloride (1.5 times the molar amount of 2-methyl-2-adamantanol),', 'step 5:by stirring for about 10 hours at room temperature', 'step 5 properties:Time:~36000', 'step 5 properties:Temperature:room temperature', 'step 6:After filtration', 'step 7:the resulting organic layer was washed with an aqueous solution of 5 wt % sodium bicarbonate', 'step 8:washed with water twice', 'step 9:The organic layer was concentrated', 'step 10:distilled under reduced pressure', 'step 10 properties:Pressure:reduced pressure', 'step 11:to obtain 2-methyl-2-adamantyl methacrylate']"
"['[CH:1]12[CH2:10][CH:5]3[CH2:6][CH:7]([CH2:9][CH:3]([CH2:4]3)[C:2]1=[O:11])[CH2:8]2.[CH2:12]([Li])[CH3:13].[C:15](Cl)(=[O:19])[C:16]([CH3:18])=[CH2:17]', 'C(OCC)C', '[C:15]([O:11][C:2]1([CH2:12][CH3:13])[CH:3]2[CH2:9][CH:7]3[CH2:6][CH:5]([CH2:10][CH:1]1[CH2:8]3)[CH2:4]2)(=[O:19])[C:16]([CH3:18])=[CH2:17]']","['US20010014428A1', '0096', 'To 31.1 g of 2-adamantanone was added 50 g of diethyl ether to form a solution. To the solution was added dropwise 200 ml of a solution of ethyllithium (at a concentration of 1.14 mol/L) in diethyl ether while keeping the solution at a temperature not higher than 10° C. After stirring for two hours at 0° C., methacrylic acid chloride in an amount of 26.2 g (1.2 times the molar amount of 2-adamantanone) was added dropwise to the solution while keeping the solution at a temperature not higher than 10° C., After the dropwise addition was completed, the resulting mixture was stirred for about 12 hours at room temperature. Thereafter, the precipitated organic salt was filtered off. The resulting organic layer was washed with an aqueous solution of 5 wt % sodium bicarbonate and then washed with water twice. The organic layer was concentrated and then distilled under reduced pressure to obtain 2-ethyl-2-adamantyl methacrylate represented by the following formula.']","[{'chemical_names': ['2-adamantanone'], 'identifiers': ['smiles:O=C1C2CC3CC(C2)CC1C3', 'inchi:InChI=1S/C10H14O/c11-10-8-2-6-1-7(4-8)5-9(10)3-6/h6-9H,1-5H2'], 'amounts': ['31.1 g'], 'appearances': []}, {'chemical_names': ['solution'], 'identifiers': [], 'amounts': ['200 ml'], 'appearances': []}, {'chemical_names': ['ethyllithium'], 'identifiers': ['smiles:[Li]CC', 'inchi:InChI=1S/C2H5.Li/c1-2;/h1H2,2H3;'], 'amounts': [], 'appearances': []}, {'chemical_names': ['methacrylic acid chloride'], 'identifiers': ['smiles:C=C(C)C(=O)Cl', 'inchi:InChI=1S/C4H5ClO/c1-3(2)4(5)6/h1H2,2H3'], 'amounts': [], 'appearances': []}, {'chemical_names': ['2-adamantanone'], 'identifiers': ['smiles:O=C1C2CC3CC(C2)CC1C3', 'inchi:InChI=1S/C10H14O/c11-10-8-2-6-1-7(4-8)5-9(10)3-6/h6-9H,1-5H2'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['2-ethyl-2-adamantyl methacrylate'], 'identifiers': ['smiles:C=C(C)C(=O)OC1(CC)C2CC3CC(C2)CC1C3', 'inchi:InChI=1S/C16H24O2/c1-4-16(18-15(17)10(2)3)13-6-11-5-12(8-13)9-14(16)7-11/h11-14H,2,4-9H2,1,3H3'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['diethyl ether'], 'identifiers': ['smiles:CCOCC', 'inchi:InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3'], 'amounts': [], 'appearances': []}, {'chemical_names': ['diethyl ether'], 'identifiers': ['smiles:CCOCC', 'inchi:InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3'], 'amounts': ['50 g'], 'appearances': []}]",[],"['step 1:To 31.1 g of 2-adamantanone was added 50 g of diethyl ether', 'step 2:to form a solution', 'step 3:To the solution was added dropwise 200 ml of a solution of ethyllithium (at a concentration of 1.14 mol/L) in diethyl ether', 'step 4:higher than 10° C', 'step 4 properties:Temperature:10', 'step 5:After stirring for two hours at 0° C.', 'step 5 properties:Time:7200', 'step 5 properties:Temperature:0', 'step 6:methacrylic acid chloride in an amount of 26.2 g (1.2 times the molar amount of 2-adamantanone) was added dropwise to the solution', 'step 7:higher than 10° C.', 'step 7 properties:Temperature:10', 'step 8:After the dropwise addition', 'step 9:the resulting mixture was stirred for about 12 hours at room temperature', 'step 9 properties:Time:~43200', 'step 9 properties:Temperature:room temperature', 'step 10:Thereafter, the precipitated organic salt was filtered off', 'step 11:The resulting organic layer was washed with an aqueous solution of 5 wt % sodium bicarbonate', 'step 12:washed with water twice', 'step 13:The organic layer was concentrated', 'step 14:distilled under reduced pressure', 'step 14 properties:Pressure:reduced pressure', 'step 15:to obtain 2-ethyl-2-adamantyl methacrylate']"
"['Br[CH:2]1[CH2:7][CH2:6][O:5][C:3]1=[O:4].[C:8]([OH:13])(=[O:12])[C:9]([CH3:11])=[CH2:10].C(C(C)=O)C(C)C', 'C(N(CC)CC)C', '[C:8]([O:13][CH:2]1[CH2:7][CH2:6][O:5][C:3]1=[O:4])(=[O:12])[C:9]([CH3:11])=[CH2:10]']","['US20010014428A1', '0097', 'A vessel was charged with 100 g of α-bromo-γ-butyrolactone and 104.4 g of methacrylic acid(2.0 times the molar amount of α-bromo-γ-butyrolactone). Then, methyl isobutyl ketone in a weight three times the weight of α-bromo-γ-butyrolactone was added thereto to form a solution. To the solution was added dropwise 183.6 g of triethylamine (3.0 times the molar amount of α-bromo-γ-butyrolactone), followed by stirring for about 10 hours at room temperature. After filtration, the resulting organic layer was washed with an aqueous solution of 5 wt % sodium bicarbonate and then washed with water twice. The organic layer was concentrated to obtain α-methacryloyloxy-γ-butyrolactone represented by the following formula.']","[{'chemical_names': ['α-bromo-γ-butyrolactone'], 'identifiers': ['smiles:O=C1OCCC1Br', 'inchi:InChI=1S/C4H5BrO2/c5-3-1-2-7-4(3)6/h3H,1-2H2'], 'amounts': ['100 g'], 'appearances': []}, {'chemical_names': ['methacrylic acid'], 'identifiers': ['smiles:C=C(C)C(=O)O', 'inchi:InChI=1S/C4H6O2/c1-3(2)4(5)6/h1H2,2H3,(H,5,6)'], 'amounts': ['104.4 g'], 'appearances': []}, {'chemical_names': ['α-bromo-γ-butyrolactone'], 'identifiers': ['smiles:O=C1OCCC1Br', 'inchi:InChI=1S/C4H5BrO2/c5-3-1-2-7-4(3)6/h3H,1-2H2'], 'amounts': [], 'appearances': []}, {'chemical_names': ['methyl isobutyl ketone'], 'identifiers': ['smiles:CC(=O)CC(C)C', 'inchi:InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3'], 'amounts': [], 'appearances': []}, {'chemical_names': ['α-bromo-γ-butyrolactone'], 'identifiers': ['smiles:O=C1OCCC1Br', 'inchi:InChI=1S/C4H5BrO2/c5-3-1-2-7-4(3)6/h3H,1-2H2'], 'amounts': [], 'appearances': []}, {'chemical_names': ['α-bromo-γ-butyrolactone'], 'identifiers': ['smiles:O=C1OCCC1Br', 'inchi:InChI=1S/C4H5BrO2/c5-3-1-2-7-4(3)6/h3H,1-2H2'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['α-methacryloyloxy-γ-butyrolactone'], 'identifiers': ['smiles:C=C(C)C(=O)OC1CCOC1=O', 'inchi:InChI=1S/C8H10O4/c1-5(2)7(9)12-6-3-4-11-8(6)10/h6H,1,3-4H2,2H3'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['triethylamine'], 'identifiers': ['smiles:CCN(CC)CC', 'inchi:InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3'], 'amounts': ['183.6 g'], 'appearances': []}]",[],"['step 1:A vessel was charged with 100 g of α-bromo-γ-butyrolactone and 104.4 g of methacrylic acid(2.0 times the molar amount of α-bromo-γ-butyrolactone)', 'step 2:Then, methyl isobutyl ketone in a weight three times the weight of α-bromo-γ-butyrolactone was added', 'step 3:to form a solution', 'step 4:To the solution was added dropwise 183.6 g of triethylamine (3.0 times the molar amount of α-bromo-γ-butyrolactone),', 'step 5:by stirring for about 10 hours at room temperature', 'step 5 properties:Time:~36000', 'step 5 properties:Temperature:room temperature', 'step 6:After filtration', 'step 7:the resulting organic layer was washed with an aqueous solution of 5 wt % sodium bicarbonate', 'step 8:washed with water twice', 'step 9:The organic layer was concentrated', 'step 10:to obtain α-methacryloyloxy-γ-butyrolactone']"
"['[OH:1][C:2]1[CH:9]=[CH:8][C:5]([CH:6]=[CH2:7])=[CH:4][CH:3]=1.C=CC1C=CC=CC=1', '', '[CH:7]#[C:6][C:5]1[CH:8]=[CH:9][C:2]([OH:1])=[CH:3][CH:4]=1']","['US20010014427A1', '(C-1) Poly(p-hydroxystyrene) (Mw=7,500)', '0298', '(C-2) Copolymer of p-hydroxystyrene and styrene (copolymerization mol ratio=7:3, Mw=7,000)']","[{'chemical_names': ['p-hydroxystyrene'], 'identifiers': ['smiles:C=Cc1ccc(O)cc1', 'inchi:InChI=1S/C8H8O/c1-2-7-3-5-8(9)6-4-7/h2-6,9H,1H2'], 'amounts': [], 'appearances': []}, {'chemical_names': ['styrene'], 'identifiers': ['smiles:C=Cc1ccccc1', 'inchi:InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['Poly(p-hydroxystyrene)'], 'identifiers': ['smiles:C#Cc1ccc(O)cc1', 'inchi:InChI=1S/C8H6O/c1-2-7-3-5-8(9)6-4-7/h1,3-6,9H'], 'amounts': [], 'appearances': []}]",[],[],[]
"['[Cl:1][C:2]1[CH:3]=[CH:4][C:5]2[O:9][C:8]([CH3:10])=[N:7][C:6]=2[CH:11]=1.[N+:12]([O-])([OH:14])=[O:13].O1C2C=CC=CC=2N=C1', 'S(=O)(=O)(O)O', '[Cl:1][C:2]1[C:3]([N+:12]([O-:14])=[O:13])=[CH:4][C:5]2[O:9][C:8]([CH3:10])=[N:7][C:6]=2[CH:11]=1']","['US20010014432A1', '5-Chloro-2-methyl-6-nitrobenzoxazole (2)', '0107', 'Concentrated sulfuric acid (150 mL) was stirred mechanically and cooled in an ice/water bath. To this was gradually added 5-chloro-2-methylbenzoxazole (1), (75 g, 0.45 Moles), at such a rate that the temperature stayed at 30° C., over a 15-20 minute period. A solution of concentrated sulfuric acid (40 mL), and concentrated nitric acid (32 mL), was prepared and added drop by drop to the benzoxazole solution at such a rate that the temperature was maintained at approximately 20° C. When this acid solution had been added the cooling bath was removed and the mixture allowed to stir at room temperature for 1 hour. At the end of this period the solution was carefully poured onto ice with good stirring. Sufficient water was then added to get good mixing. The solid was filtered off, washed well with water followed by methanol and finally air dried. Yield 90.6 g']","[{'chemical_names': ['5-chloro-2-methylbenzoxazole'], 'identifiers': ['smiles:Cc1nc2cc(Cl)ccc2o1', 'inchi:InChI=1S/C8H6ClNO/c1-5-10-7-4-6(9)2-3-8(7)11-5/h2-4H,1H3'], 'amounts': ['0.45 Moles', '75 g'], 'appearances': []}, {'chemical_names': ['nitric acid'], 'identifiers': ['smiles:O=[N+]([O-])O', 'inchi:InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)'], 'amounts': ['32 mL'], 'appearances': []}, {'chemical_names': ['benzoxazole'], 'identifiers': ['smiles:c1ccc2ocnc2c1', 'inchi:InChI=1S/C7H5NO/c1-2-4-7-6(3-1)8-5-9-7/h1-5H'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['5-Chloro-2-methyl-6-nitrobenzoxazole'], 'identifiers': ['smiles:Cc1nc2cc(Cl)c([N+](=O)[O-])cc2o1', 'inchi:InChI=1S/C8H5ClN2O3/c1-4-10-6-2-5(9)7(11(12)13)3-8(6)14-4/h2-3H,1H3'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['sulfuric acid'], 'identifiers': ['smiles:O=S(=O)(O)O', 'inchi:InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)'], 'amounts': ['40 mL'], 'appearances': []}, {'chemical_names': ['sulfuric acid'], 'identifiers': ['smiles:O=S(=O)(O)O', 'inchi:InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)'], 'amounts': ['150 mL'], 'appearances': []}]",[],"['step 1:Concentrated sulfuric acid (150 mL) was stirred mechanically', 'step 2:cooled in an ice/water bath', 'step 3:at such a rate that the temperature stayed at 30° C., over a 15-20 minute period', 'step 3 properties:Time:900 to 1200', 'step 3 properties:Temperature:30', 'step 4:A solution of concentrated sulfuric acid (40 mL), and concentrated nitric acid (32 mL), was prepared', 'step 5:added drop by drop to the benzoxazole solution at such a rate that the temperature', 'step 6:was maintained at approximately 20° C', 'step 6 properties:Temperature:~20', 'step 7:When this acid solution had been added the cooling bath', 'step 8:was removed', 'step 9:to stir at room temperature for 1 hour', 'step 9 properties:Time:3600', 'step 9 properties:Temperature:room temperature', 'step 10:At the end of this period the solution was carefully poured onto ice with good stirring', 'step 11:Sufficient water was then added', 'step 12:to get good mixing', 'step 13:The solid was filtered off', 'step 14:washed well with water', 'step 15:dried']"
"['[Cl:1][C:2]1[C:3]([N+:12]([O-])=O)=[CH:4][C:5]2[O:9][C:8]([CH3:10])=[N:7][C:6]=2[CH:11]=1', 'O1CCCC1', '[NH2:12][C:3]1[C:2]([Cl:1])=[CH:11][C:6]2[N:7]=[C:8]([CH3:10])[O:9][C:5]=2[CH:4]=1']","['US20010014432A1', '6-Amino-5-Chloro-2-methylbenzoxazole (3)', '0109', 'Compound (2), (30 g), was dissolved in tetrahydrofuran (150 mL), and Raney-Nickel which had been pre-washed with water (×3) and tetrahydrofuran (×3), was added. The mixture was then hydrogenated at room temperature and 352 kg/dm2 (50 psi) of hydrogen. The reaction is complete in approximately 1.5 hours. After this period, the catalyst is filtered off and the solution concentrated under reduced pressure. The residue is triturated with heptane, cooled and the solid filtered off. Yield 22 g.']","[{'chemical_names': ['Compound ( 2 )', '5-Chloro-2-methyl-6-nitrobenzoxazole'], 'identifiers': ['smiles:Cc1nc2cc(Cl)c([N+](=O)[O-])cc2o1', 'inchi:InChI=1S/C8H5ClN2O3/c1-4-10-6-2-5(9)7(11(12)13)3-8(6)14-4/h2-3H,1H3'], 'amounts': ['30 g'], 'appearances': []}]","[{'chemical_names': ['6-Amino-5-Chloro-2-methylbenzoxazole'], 'identifiers': ['smiles:Cc1nc2cc(Cl)c(N)cc2o1', 'inchi:InChI=1S/C8H7ClN2O/c1-4-11-7-2-5(9)6(10)3-8(7)12-4/h2-3H,10H2,1H3'], 'amounts': [], 'appearances': []}]","[{'chemical_names': ['tetrahydrofuran'], 'identifiers': ['smiles:C1CCOC1', 'inchi:InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2'], 'amounts': ['150 mL'], 'appearances': []}]",[],"['step 1:Compound (2), (30 g), was dissolved in tetrahydrofuran (150 mL)', 'step 2:Raney-Nickel which had been pre-washed with water (×3) and tetrahydrofuran (×3)', 'step 3:was added', 'step 4:was then hydrogenated at room temperature', 'step 4 properties:Temperature:room temperature', 'step 5:The reaction is complete in approximately 1.5 hours', 'step 5 properties:Time:~5400', 'step 6:After this period', 'step 7:the catalyst is filtered off', 'step 8:the solution concentrated under reduced pressure', 'step 8 properties:Pressure:reduced pressure', 'step 9:The residue is triturated with heptane', 'step 10:cooled', 'step 11:the solid filtered off']"
"['[C:1]([OH:9])(=O)[C:2]1[CH:7]=[CH:6][N:5]=[CH:4][CH:3]=1.S(Cl)([Cl:12])=O', '', '[N:5]1[CH:6]=[CH:7][C:2]([C:1]([Cl:12])=[O:9])=[CH:3][CH:4]=1']","['US20010014432A1', '4-Pyridinecarbonyl chloride, (7).', '0117', 'Isonicotinic acid (1.27 g, 10.36 mMole) was added to thionyl chloride (30 mL) and the mixture heated to 70° C. After 1 hour the solution was cooled, concentrated under reduced pressure and co-evaporated with ethyl acetate (2×30 mL). The residue was used as such in the following step.']","[{'chemical_names': ['Isonicotinic acid'], 'identifiers': ['smiles:O=C(O)c1ccncc1', 'inchi:InChI=1S/C6H5NO2/c8-6(9)5-1-3-7-4-2-5/h1-4H,(H,8,9)'], 'amounts': ['10.36 mMole', '1.27 g'], 'appearances': []}, {'chemical_names': ['thionyl chloride'], 'identifiers': ['smiles:O=S(Cl)Cl', 'inchi:InChI=1S/Cl2OS/c1-4(2)3'], 'amounts': ['30 mL'], 'appearances': []}]","[{'chemical_names': ['4-Pyridinecarbonyl chloride'], 'identifiers': ['smiles:O=C(Cl)c1ccncc1', 'inchi:InChI=1S/C6H4ClNO/c7-6(9)5-1-3-8-4-2-5/h1-4H'], 'amounts': [], 'appearances': []}]",[],[],"['step 1:Isonicotinic acid (1.27 g, 10.36 mMole) was added to thionyl chloride (30 mL)', 'step 2:the mixture heated to 70° C', 'step 2 properties:Temperature:70', 'step 3:After 1 hour the solution was cooled', 'step 3 properties:Time:3600', 'step 4:concentrated under reduced pressure and co-evaporated with ethyl acetate (2×30 mL)', 'step 4 properties:Pressure:reduced pressure']"
"['[C:1]([C:9]1[CH:17]=[CH:16][C:12]([C:13](O)=[O:14])=[CH:11][CH:10]=1)(=[O:8])[C:2]1[CH:7]=[CH:6][CH:5]=[CH:4][CH:3]=1.S(Cl)([Cl:20])=O.C1(C)C=CC=CC=1', 'CN(C)C=O', '[C:1]([C:9]1[CH:17]=[CH:16][C:12]([C:13]([Cl:20])=[O:14])=[CH:11][CH:10]=1)(=[O:8])[C:2]1[CH:7]=[CH:6][CH:5]=[CH:4][CH:3]=1']","['US20010014448A1', 'Preparation of 4-Benzoylbenzoyl Chloride (BBA-C1) (Compound I)', '0062', '4-Benzoylbenzoic acid (BBA), 1.0 kg (4.42 moles), was added to a dry 5 liter Morton flask equipped with reflux condenser and overhead stirrer, followed by the addition of 645 ml (8.84 moles) of thionyl chloride and 725 ml of toluene. Dimethylformamide, 3.5 ml, was then added and the mixture was heated at reflux for 4 hours. After cooling, the solvents were removed under reduced pressure and the residual thionyl chloride was removed by three evaporations using 3×500 ml of toluene. The product was recrystallized from 1:4 toluene:hexane to give 988 g (91 % yield) after drying in a vacuum oven. Product melting point was 92-94° C. Nuclear magnetic resonance (NMR) analysis at 80 MHz (1H NMR (CDCl3)) was consistent with the desired product: aromatic protons 7.20-8.25 (m, 9H). All chemical shift values are in ppm downfield from a tetramethylsilane internal standard. The final compound was stored for use in the preparation of a monomer used in the synthesis of photoactivatable polymers as described, for instance, in Example 3.']","[{'chemical_names': ['4-Benzoylbenzoic acid'], 'identifiers': ['smiles:O=C(O)c1ccc(C(=O)c2ccccc2)cc1', 'inchi:InChI=1S/C14H10O3/c15-13(10-4-2-1-3-5-10)11-6-8-12(9-7-11)14(16)17/h1-9H,(H,16,17)'], 'amounts': [], 'appearances': []}, {'chemical_names': ['thionyl chloride'], 'identifiers': ['smiles:O=S(Cl)Cl', 'inchi:InChI=1S/Cl2OS/c1-4(2)3'], 'amounts': ['8.84 moles', '645 ml'], 'appearances': []}, {'chemical_names': ['toluene'], 'identifiers': ['smiles:Cc1ccccc1', 'inchi:InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3'], 'amounts': ['725 ml'], 'appearances': []}]","[{'chemical_names': ['4-Benzoylbenzoyl Chloride'], 'identifiers': ['smiles:O=C(Cl)c1ccc(C(=O)c2ccccc2)cc1', 'inchi:InChI=1S/C14H9ClO2/c15-14(17)12-8-6-11(7-9-12)13(16)10-4-2-1-3-5-10/h1-9H'], 'amounts': ['91 % yield'], 'appearances': []}]","[{'chemical_names': ['Dimethylformamide'], 'identifiers': ['smiles:CN(C)C=O', 'inchi:InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3'], 'amounts': [], 'appearances': []}]",[],"['step 1:4-Benzoylbenzoic acid (BBA), 1.0 kg (4.42 moles), was added to a dry 5 liter Morton flask', 'step 2:equipped', 'step 3:with reflux condenser and overhead stirrer', 'step 4:followed by the addition of 645 ml (8.84 moles) of thionyl chloride and 725 ml of toluene', 'step 5:Dimethylformamide, 3.5 ml, was then added', 'step 6:the mixture was heated', 'step 7:at reflux for 4 hours', 'step 7 properties:Time:14400', 'step 8:After cooling', 'step 9:the solvents were removed under reduced pressure', 'step 9 properties:Pressure:reduced pressure', 'step 10:the residual thionyl chloride was removed by three evaporations', 'step 11:The product was recrystallized from 1:4 toluene', 'step 12:hexane to give 988 g (91 % yield)', 'step 13:after drying in a vacuum oven', 'step 14:The final compound was stored for use in the preparation of a monomer', 'step 15:used in the synthesis of photoactivatable polymers']"
