SMILES,Difficulty,Node_ID
CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,22.097711674166423,34400
CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,7.572688707953282,36625
C=CC1(C)C=C2CCC3C(C)(CO)CCCC3(C)C2CC1,5.906,40821
ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(C(Cl)Cl)CC2(Cl)Cl,5.294950822129771,39246
O=C(O)CCCCCNCCc1ccccc1,5.216271120248256,40079
C=C1CCC2C(C1)c1c(OCc3ccc(-c4ccccc4)cc3)cc(CCCCC)cc1OC2(C)C,5.0556170782299485,38871
CC1(C)C(=CC=CC=CC=CC2=[N+](CCCCS(=O)(=O)O)c3ccc4ccccc4c3C2(C)C)N(CCCCS(=O)(=O)O)c2ccc3ccccc3c21,4.703387369426808,33901
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,4.57525233996377,29067
Nc1ccc(S(=O)(=O)O)c(N)c1,4.426586564222656,31624
CN(C)C(=O)C(C(=O)N(C)C)C(=O)N(C)C,4.41808634130772,30879
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(N2C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)C(F)(F)C1(F)F,4.3678197791131375,40285
O=S(O)c1ccccc1,4.361947859164741,32990
ClC=C1C2C(Cl)C(Cl)C(C2Cl)C1(CCl)CCl,4.3099479922476185,40578
CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCC,4.2883977964295,31592
CCc1c(C(=O)O)c(=O)cnn1-c1ccc(Cl)cc1,4.186884985254601,38803
c1ccc(C[n+]2cccc3ccccc32)cc1,4.066502904578671,35458
O=P(O)(O)CN(CCCCCCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,3.999544162808863,35319
O=C(O)c1ccc2ccccc2c1,3.910214470920248,31679
O=C(Cn1c(=O)sc2ccc(Cl)cc21)N1CCN(CCOS(=O)(=O)O)CC1,3.8793593978334107,31033
COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(=O)O)n1,3.84509552327573,38746
NC(CSSCC(N)C(=O)O)C(=O)O,3.802558332153298,28818
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(OC(=O)C2OC(O)CC(O)C2O)C1O,3.782404673666346,36954
CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,3.742,37977
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,3.739109580075027,28930
CCCCCc1cc(OCc2ccc(-c3ccccc3)cc2)c2c(c1)OC(C)(C)C1CC=C(C)CC21,3.680855396637292,38870
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,3.665029961480486,33410
CC(C)C(N)C(=O)N1CCCC1C(=O)NCC(=O)NC(C(=O)O)C(C)C,3.658720624374819,40704
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,3.6345774373149005,1018
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,3.62223013092949,36713
O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,3.614666923845472,36434
NCCC(N)C(=O)O,3.612566385530556,32207
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,3.5860000000000003,31512
C[n+]1cccc(Br)c1,3.5658823203666743,35686
Brc1cc(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)cc1Br,3.491437542708339,35697
NC(CC(=O)O)C(=O)O,3.4674919325898017,31434
CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,3.459154483829666,32206
COc1ccc2cc(C(C)C(=O)OCC=C(C)CCC=C(C)C)ccc2c1,3.4423134630145036,39657
O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,3.436322758919486,32052
O=C1CC2C(=O)NCC2CN1,3.4239999999999995,38899
NC(CCC(=O)O)C(=O)O,3.4218614033522283,31436
Nc1cccc(S(=O)(=O)O)c1,3.41261701224198,33152
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,3.394,35940
CC=C(C)C(=O)OC1CC(C)CCC1C(C)C,3.351144343146486,40845
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,3.3262111751686794,31603
O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)OCC1c2ccccc2-c2ccccc21,3.3178382720947264,41652
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(CON=C(c2ccc(Cl)cc2)C2CC2)cc1,3.2858850430852287,37869
CC(C)(SC(=O)N1CCCCC1)c1ccccc1,3.284,36696
CCCCCCCCCCCCS(=O)(=O)O,3.2209462960194344,33573
CC[n+]1cccc2ccccc21,3.219615625642397,35467
CCCCCCC(=O)Oc1ccc2c3c1OC1C(OS(=O)(=O)O)C=CC4C(C2)N(C)CCC341,3.20201815372913,31190
CC(C)N1CCN=C1CN1CCCCSc2ccc(Cl)cc21,3.199720536231995,36701
c1ccc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)cc1,3.181962163345146,33247
COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,3.1802915378936767,36337
Clc1cc2c(Cl)cc(Cl)c(Cl)c2c(Cl)c1Cl,3.1596299870399305,38150
CC(=O)OC(C(=O)ON=C(C)C12CC3CC(CC(C3)C1)C2)c1ccccc1,3.140984559366022,38628
Clc1c(Cl)c(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,3.1247907913410797,29332
NCCCC(N)C(=O)O,3.1216852004777396,31511
CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,3.118378025054932,34403
CCCc1c2c(c(O)c3c(=O)cc(C(=O)O)oc13)CCCC2,3.115479884470741,36663
O=C(O)CNCP(=O)(O)O,3.110541002987401,33115
CC(C)(C)C1CCCCC1,3.0856784085819933,33831
N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,3.0674544572517,38849
O=C(O)CCN1CCCCC1,3.067308875581147,39536
CC1CCC(C(C)C)CC1,3.059886582753384,31780
CCCCCCCCCCCCC(C)c1ccccc1,3.0542152652313916,34071
CCCCCCCCCCCCCCCCCCCC(=O)O,3.0306264152102327,32413
Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,3.021572106937691,31573
O=C(O)C1CCNCC1,3.0214442548235025,29043
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,2.998870365931273,31430
C[N+](C)(C)CCCl,2.977222277849641,33088
C[n+]1ccc(-c2cc[n+](C)cc2)cc1,2.966615023970118,29301
NCCCCCC(=O)O,2.955214762837601,28829
CCN(CC)CCN=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,2.954942909721733,30253
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,2.9384117263984426,31567
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,2.933785981581002,32490
C[n+]1cccc2ccccc21,2.9251211455582022,33631
CCCCCc1cc(CCCCN2CC(=O)c3ccccc3C2=O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,2.9179211275986483,40037
NCCCC(=O)O,2.908274835389437,31425
ClC=C1C2CC(C(Cl)C2(Cl)Cl)C1(C(Cl)Cl)C(Cl)Cl,2.903672307883018,40579
CCOc1ccc([Si](C)(C)CCCc2ccc(F)c(Oc3ccccc3)c2)cc1,2.8875258053070514,30469
Clc1ccc(Sc2nc(C(Cl)(Cl)Cl)nc(C(Cl)(Cl)Cl)n2)cc1,2.8796095047284966,40116
CNCC(=O)O,2.8788089260890914,31884
N=c1ccn2c(n1)OC1C(O)C(CCl)OC12,2.8688240352910914,31014
NC(=O)C1CCCN1C(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1,2.8685183230220956,35360
CCCCCCCCC(CCCCC)c1ccccc1,2.8501579273537674,34067
CCCc1cccc(C)c1,2.847868845425345,33118
